Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;Distance;Distance Unit;Seconds;Notes;Workout Notes
2018-01-27 16:45:08;"Benk";"Bench (close-grip) ";1;52.5;kg;6;;;0;"";
2018-01-27 16:45:08;"Benk";"Bench (close-grip) ";2;62.5;kg;5;;;0;;
2018-01-27 16:45:08;"Benk";"Bench (close-grip) ";3;72.5;kg;3;;;0;;
2018-01-27 16:45:08;"Benk";"Bench (close-grip) ";4;72.5;kg;5;;;0;;
2018-01-27 16:45:08;"Benk";"Bench (close-grip) ";5;72.5;kg;4;;;0;;
2018-01-27 16:45:08;"Benk";"Bench Press (Barbell)";1;80;kg;5;;;0;"";""
2018-01-27 16:45:08;"Benk";"Bench Press (Barbell)";2;90;kg;3;;;0;;
2018-01-27 16:45:08;"Benk";"Bench Press (Barbell)";3;100;kg;1;;;0;;
2018-01-27 16:45:08;"Benk";"Bench Press (Barbell)";4;92.5;kg;3;;;0;;
2018-01-27 16:45:08;"Benk";"Bench Press (Barbell)";5;85;kg;5;;;0;;
2018-01-27 16:45:08;"Benk";"Bench Press (Barbell)";6;85;kg;5;;;0;;
2018-01-27 16:45:08;"Benk";"Bench Press (Barbell)";7;85;kg;5;;;0;;
2018-01-27 16:45:08;"Benk";"Bench Press (Barbell)";8;80;kg;5;;;0;;
2018-01-27 16:45:08;"Benk";"Bench Press (Barbell)";9;75;kg;5;;;0;;
2018-01-27 16:45:08;"Benk";"Bent Over Row (Barbell)";1;65;kg;5;;;0;"";
2018-01-27 16:45:08;"Benk";"Bent Over Row (Barbell)";2;65;kg;5;;;0;;
2018-01-27 16:45:08;"Benk";"Bent Over Row (Barbell)";3;65;kg;5;;;0;;
2018-01-27 16:45:08;"Benk";"Bent Over Row (Barbell)";4;65;kg;5;;;0;;
2018-01-27 16:45:08;"Benk";"Bent Over Row (Barbell)";5;65;kg;5;;;0;;
2018-01-27 16:45:08;"Benk";"Preacher Curl (Barbell)";1;20;kg;12;;;0;"";
2018-01-27 16:45:08;"Benk";"Preacher Curl (Barbell)";2;20;kg;12;;;0;;
2018-01-27 16:45:08;"Benk";"Preacher Curl (Barbell)";3;20;kg;10;;;0;;
2018-01-27 16:45:08;"Benk";"Preacher Curl (Barbell)";4;20;kg;10;;;0;;
2018-01-27 16:45:08;"Benk";"Preacher Curl (Barbell)";5;20;kg;12;;;0;;
2018-01-28 12:41:01;"Knebøy";"Bicycle Crunch";1;;;30;;;0;"";
2018-01-28 12:41:01;"Knebøy";"Bicycle Crunch";2;;;30;;;0;;
2018-01-28 12:41:01;"Knebøy";"Bicycle Crunch";3;;;30;;;0;;
2018-01-28 12:41:01;"Knebøy";"Bicycle Crunch";4;;;30;;;0;;
2018-01-28 12:41:01;"Knebøy";"Calf raise (seated) ";1;150;kg;12;;;0;"";
2018-01-28 12:41:01;"Knebøy";"Calf raise (seated) ";2;200;kg;13;;;0;;
2018-01-28 12:41:01;"Knebøy";"Calf raise (seated) ";3;250;kg;12;;;0;;
2018-01-28 12:41:01;"Knebøy";"Calf raise (seated) ";4;300;kg;12;;;0;;
2018-01-28 12:41:01;"Knebøy";"Calf raise (seated) ";5;300;kg;12;;;0;;
2018-01-28 12:41:01;"Knebøy";"Calf raise (seated) ";6;300;kg;12;;;0;;
2018-01-28 12:41:01;"Knebøy";"Leg Press";1;300;kg;5;;;0;"";
2018-01-28 12:41:01;"Knebøy";"Lying hamstring curl ";1;75;kg;8;;;0;"";
2018-01-28 12:41:01;"Knebøy";"Lying hamstring curl ";2;75;kg;8;;;0;;
2018-01-28 12:41:01;"Knebøy";"Lying hamstring curl ";3;75;kg;8;;;0;;
2018-01-28 12:41:01;"Knebøy";"Oblique Crunch";1;;;15;;;0;"";
2018-01-28 12:41:01;"Knebøy";"Oblique Crunch";2;;;15;;;0;;
2018-01-28 12:41:01;"Knebøy";"Oblique Crunch";3;;;15;;;0;;
2018-01-28 12:41:01;"Knebøy";"Oblique Crunch";4;;;15;;;0;;
